id,date,content,topic,sentiment
1.47E+18,2021-11-30 10:36:24+00:00,@TwitterBusiness Why can I still NOT report dangerous covid misinformation on @Twitter? Instead i will have to report it as expression of self harm or suicide until you do.,RE,negative
1.47E+18,2021-11-30 10:36:24+00:00,"@Sam_Ringland_14 @PoliticsForAlI Fair point, I got vaccinated even though I’m in my early 20s and not at risk in the slightest, and my reward is that they want to give me another jab for a virus I literally couldn’t care less about and that I’ve already had anyway",VA,negative
1.47E+18,2021-11-30 10:36:24+00:00,"@robsevy I originally had pfizer and had side effects from the second shot. My booster was moderna, no side effects at all.",VA,neutral
1.47E+18,2021-11-30 10:36:24+00:00,"@priyankachopra No Coronavirus, No,Covid-19, And  No Their Variants....",SV,negative
1.47E+18,2021-11-30 10:36:24+00:00,"Indonesian streetwear brand, UNDERRADAR, recently dropped a compilation album aimed at helping health workers and covid victims in Indonesia. 

Check out our full review: https://t.co/8bNcRyIQaA

🖊: @brianhioe 
📸: Underradar Media

#ElectricSoul #ElectronicMusicMagazine #Asia https://t.co/EVjjOqqkS9",CU,positive
1.47E+18,2021-11-30 10:36:23+00:00,"@alexberesfordTV Stupid comment to make to push the vax, I've had covid, felt bit unwell couple days and guess what no jabs!",SV,negative
1.47E+18,2021-11-30 10:36:23+00:00,"@BorisJohnson Excuse me if I'm wrong, but only a fully vaccinated person could have carried this new variant back?",VA,negative
1.47E+18,2021-11-30 10:36:23+00:00,The Joint Committee on Vaccination and Immunisation has made all adults eligible and halved the recommended gap between second and third doses to three months.,VA,neutral
1.47E+18,2021-11-30 10:36:23+00:00,"@Cards_79 If the symptoms of this Omicron variant are mild, isn’t perhaps a sign that COVID might be becoming Endemic and loosing it’s? I wonder what the scientists think. Or maybe they know that but are just not mentioning it.",SV,negative
1.47E+18,2021-12-01 09:27:41+00:00,@PastelBio Meeting has been cancelled due to the Covid-19 situation in Belgium!,RE,neutral
1.47E+18,2021-12-01 09:27:40+00:00,@KoaCalifornia @Surgeon_General @LindaA48532658 Yea that near zero risk of covid is terrifying. Did you fill the pool in with cement and crush the kids bikes? Drowning and accidents are a far greater risk to your kids than covid.,SV,negative
1.47E+18,2021-12-01 09:27:40+00:00,"@marysuxxx @Seekthetruth101 This is not about a virus, this is about getting EVERY man,woman &amp; child to accept Digital ID’s (sold to you as vaccine passport)so they can impliment their financial reset &amp; social credit scoring (China style) covid19 is just their tool to get you to accept it.",PO,negative
1.47E+18,2021-12-01 09:27:39+00:00,"@SA_Coconut_07 Who takes liability if you die from the VAXX?. Many people dying from it. Share.

Covid flu has a 99.98% recovery rate (cdc data). The majority would have natural immunity by now.

https://t.co/E2nKAdBVE8",VA,negative
1.47E+18,2021-12-01 09:27:39+00:00,"@winnmediaskn Despite the challenges of Covid, opportunities for young people are still made available; so young people take advantage and stop complaining.",CU,negative
1.47E+18,2021-12-01 09:27:39+00:00,"@s_offiler @Venturinglist @BretWeinstein On Oct 20th, the NIH admitted that they supported research in Wuhan to create viruses that gained function or gained in lethality. 
The same day the NIH replaced GOF research on their website with: “enhanced potential pandemic pathogen” research.https://t.co/R4ZbU7MbEw",PO,negative
1.47E+18,2021-12-01 09:27:39+00:00,Should i go for vaccination? :D,VA,positive
